"Module / Portal","Endpoint Name","HTTP Method","API Endpoint URL","Headers","Request Parameters / Payload Columns","Parameter Types & Constraints","Expected Response Columns","Description & Business Purpose"
"Public Marketing Website","Submit Buy Card Enquiry","POST","https://cupan.getfreedeal.com/api/public/enquiry.php","Content-Type: application/json","full_name, mobile, email, district, area, address, pin_code, preferred_contact_time, message","full_name (string, req), mobile (string 10-digit, req), email (string, opt), district (string, req), area (string, opt), address (string, req), pin_code (string 6-digit, req), message (string, opt)","{ success: true, message: string, data: { enquiry_id: number, reference_no: string } }","Allows citizens to request a physical/digital Health Mitra card from website. Generates lead for nearest district field agent."
"Public Marketing Website","Healthcare Partner Application","POST","https://cupan.getfreedeal.com/api/public/partner_apply.php","Content-Type: multipart/form-data","outlet_name, category_id, doctor_or_owner_name, mobile, email, district_id, area_id, full_address, pin_code, license_number, pan_number, discount_percentage, services_offered, license_document","outlet_name (string, req), category_id (int, req), doctor_or_owner_name (string, req), mobile (string, req), email (string, opt), district_id (int, req), area_id (int, req), full_address (string, req), discount_percentage (number, req), license_document (file pdf/jpg, opt)","{ success: true, message: string, data: { application_id: number, status: 'under_review' } }","Submits clinic / hospital / pharmacy onboarding application for review by super admin."
"Public Marketing Website","Contact & Support Enquiry","POST","https://cupan.getfreedeal.com/api/public/contact.php","Content-Type: application/json","name, email, phone, subject, message","name (string, req), email (string, req), phone (string 10-digit, req), subject (string, req), message (string, req)","{ success: true, message: string, data: { ticket_id: number } }","Receives general user questions, complaints, or feedback from public contact page."
"Public Marketing Website","Field Agent Application (Careers)","POST","https://cupan.getfreedeal.com/api/public/join_us.php","Content-Type: multipart/form-data","full_name, mobile, email, gender, dob, qualification, previous_experience, district_id, area_id, full_address, has_two_wheeler, resume_file","full_name (string, req), mobile (string, req), email (string, opt), qualification (string, req), district_id (int, req), has_two_wheeler (boolean, req), resume_file (file pdf/doc, opt)","{ success: true, message: string, data: { applicant_id: number, status: 'applied' } }","Captures applications from field sales agents wanting to join Health Mitra distribution force."
"Public Marketing Website","Public QR Card Instant Verify","GET","https://cupan.getfreedeal.com/api/public/verify_card.php?token={public_token}","None (Public access)","token (in query string)","token (string, req - encrypted public card identifier)","{ success: true, data: { is_valid: boolean, card_id: string, cardholder_name: string, photo_url: string, plan_name: string, expiry_date: string, status: 'active'|'expired'|'blocked', max_discount_pct: number, helpline_number: string } }","Scanned by pharmacists / clinics using smartphone camera to instantly verify card validity and member photo."
"Healthcare Partner Portal","Partner Login Authentication","POST","https://cupan.getfreedeal.com/api/partner/login.php","Content-Type: application/json","partner_code_or_email, password","partner_code_or_email (string, req), password (string, req)","{ success: true, token: string, data: { partner_id: number, partner_code: string, outlet_name: string, category: string, owner_name: string, district: string, mobile: string } }","Authenticates pharmacy/clinic partner outlet into their dedicated redemption workspace."
"Healthcare Partner Portal","Partner Dashboard Overview Metrics","GET","https://cupan.getfreedeal.com/api/partner/dashboard.php","Authorization: Bearer <token>","None","None","{ success: true, data: { total_patients_served: number, today_redemptions: number, this_month_redemptions: number, total_discount_given: number, active_category: string, agreement_status: 'signed'|'pending' } }","Powers stats widgets and graphs on Partner Dashboard homepage."
"Healthcare Partner Portal","Verify Card & Redeem Discount","POST","https://cupan.getfreedeal.com/api/partner/redeem.php","Authorization: Bearer <token>, Content-Type: application/json","card_number, service_id, original_bill_amount, discount_percentage, invoice_number, patient_notes","card_number (string, req - e.g. HMC-40748811), service_id (int, opt), original_bill_amount (number, req), discount_percentage (number, req), invoice_number (string, opt), patient_notes (string, opt)","{ success: true, message: string, data: { redemption_id: number, card_id: string, member_name: string, original_amount: number, discount_amount: number, net_payable_amount: number, transaction_time: string, receipt_no: string } }","Core transaction API for healthcare outlet to calculate discounted bill amount and log redemption."
"Healthcare Partner Portal","Partner Redemptions History","GET","https://cupan.getfreedeal.com/api/partner/verifications_history.php","Authorization: Bearer <token>","from_date, to_date, search, limit, offset","from_date (YYYY-MM-DD, opt), to_date (YYYY-MM-DD, opt), search (string card_id/name, opt), limit (int, opt default 20), offset (int, opt)","{ success: true, total: number, data: [ { id: number, card_id: string, member_name: string, bill_amount: number, discount_applied: number, final_amount: number, service_name: string, date: string } ] }","Lists all past card transactions and patient visits handled by this partner outlet."
"Healthcare Partner Portal","Partner Outlet Profile & Timings","GET, POST","https://cupan.getfreedeal.com/api/partner/profile.php","Authorization: Bearer <token>","GET: none | POST: outlet_name, contact_person, phone, email, opening_time, closing_time, closed_days, google_map_url, address","POST fields: opening_time (string, opt), closing_time (string, opt), closed_days (string, opt), google_map_url (string, opt)","{ success: true, data: { outlet_name: string, category: string, contact_person: string, phone: string, email: string, address: string, timings: string, map_link: string } }","Allows healthcare partner to view and update their business hours, location map, and contact info."
